layer,matrix_type,tensor_key,method,group_size,row_width,num_weights,number_of_scales,mse,zeroed_percent,average_scale,maximum_scale,mse_improvement_vs_global,zeroed_point_reduction
6,o_proj,model.layers.6.self_attn.o_proj.weight,global,4194304,2048,4194304,1,0.0001694342790869996,96.69923782348633,0.0608258917927742,0.0608258917927742,1.0,0.0
6,o_proj,model.layers.6.self_attn.o_proj.weight,grouped,512,2048,4194304,8192,4.289570370019646e-06,20.540642738342285,0.006941033992916346,0.0608258917927742,39.4991256633059,76.15859508514404
6,o_proj,model.layers.6.self_attn.o_proj.weight,grouped,256,2048,4194304,16384,3.5825037230097223e-06,18.688154220581055,0.006348973605781794,0.0608258917927742,47.29493454501004,78.01108360290527
6,o_proj,model.layers.6.self_attn.o_proj.weight,grouped,128,2048,4194304,32768,2.9589746191049926e-06,16.910314559936523,0.005774852819740772,0.0608258917927742,57.261146477237695,79.7889232635498
6,o_proj,model.layers.6.self_attn.o_proj.weight,grouped,64,2048,4194304,65536,2.3567092739540385e-06,14.974784851074219,0.0051557691767811775,0.0608258917927742,71.89443388692838,81.72445297241211
6,o_proj,model.layers.6.self_attn.o_proj.weight,grouped,32,2048,4194304,131072,1.899504468383384e-06,13.454771041870117,0.004645483568310738,0.0608258917927742,89.19920005831861,83.24446678161621
6,o_proj,model.layers.6.self_attn.o_proj.weight,grouped,16,2048,4194304,262144,1.4560323506884743e-06,11.777734756469727,0.004099616780877113,0.0608258917927742,116.36711162831227,84.9215030670166
6,q_proj,model.layers.6.self_attn.q_proj.weight,global,4194304,2048,4194304,1,0.00017368016415275633,68.97609233856201,0.0477120541036129,0.0477120541036129,1.0,0.0
6,q_proj,model.layers.6.self_attn.q_proj.weight,grouped,512,2048,4194304,8192,1.5069512301124632e-05,20.80707550048828,0.012561764568090439,0.0477120541036129,11.525267751352155,48.16901683807373
6,q_proj,model.layers.6.self_attn.q_proj.weight,grouped,256,2048,4194304,16384,1.276180410059169e-05,19.087910652160645,0.011549092829227448,0.0477120541036129,13.609373939904296,49.88818168640137
6,q_proj,model.layers.6.self_attn.q_proj.weight,grouped,128,2048,4194304,32768,1.068824713001959e-05,17.465806007385254,0.010579213500022888,0.0477120541036129,16.24963963126833,51.51028633117676
6,q_proj,model.layers.6.self_attn.q_proj.weight,grouped,64,2048,4194304,65536,8.763096957409289e-06,15.785574913024902,0.009585623629391193,0.0477120541036129,19.819495892477597,53.19051742553711
6,q_proj,model.layers.6.self_attn.q_proj.weight,grouped,32,2048,4194304,131072,6.960427526792046e-06,14.048528671264648,0.008564568124711514,0.0477120541036129,24.952513833988995,54.92756366729736
6,q_proj,model.layers.6.self_attn.q_proj.weight,grouped,16,2048,4194304,262144,5.26264784639352e-06,12.204623222351074,0.007503591012209654,0.0477120541036129,33.00242942757018,56.77146911621094
6,up_proj,model.layers.6.mlp.up_proj.weight,global,11534336,2048,11534336,1,0.00018769968301057816,86.65654442527078,0.0513392873108387,0.0513392873108387,1.0,0.0
6,up_proj,model.layers.6.mlp.up_proj.weight,grouped,512,2048,11534336,22528,5.902532848267583e-06,19.41541324962269,0.008277049288153648,0.0513392873108387,31.79985403480961,67.24113117564809
6,up_proj,model.layers.6.mlp.up_proj.weight,grouped,256,2048,11534336,45056,5.072331077826675e-06,18.058022585782137,0.0076905954629182816,0.0513392873108387,37.004619795244366,68.59852183948864
6,up_proj,model.layers.6.mlp.up_proj.weight,grouped,128,2048,11534336,90112,4.294002337701386e-06,16.648639332164418,0.007088491693139076,0.0513392873108387,43.712058878630074,70.00790509310636
6,up_proj,model.layers.6.mlp.up_proj.weight,grouped,64,2048,11534336,180224,3.5597413443611003e-06,15.180371024391867,0.006465940270572901,0.0513392873108387,52.72846110235191,71.4761734008789
6,up_proj,model.layers.6.mlp.up_proj.weight,grouped,32,2048,11534336,360448,2.8568808829732006e-06,13.61074447631836,0.005814720410853624,0.0513392873108387,65.70091323346885,73.04579994895242
6,up_proj,model.layers.6.mlp.up_proj.weight,grouped,16,2048,11534336,720896,2.1826460852025775e-06,11.910741979425604,0.005124712362885475,0.0513392873108387,85.9963895581162,74.74580244584517
6,v_proj,model.layers.6.self_attn.v_proj.weight,global,524288,2048,524288,1,7.445365554303862e-06,36.649513244628906,0.009486607275903225,0.009486607275903225,1.0,0.0
6,v_proj,model.layers.6.self_attn.v_proj.weight,grouped,512,2048,524288,1024,2.480397597537376e-06,20.481491088867188,0.00531407818198204,0.009486607275903225,3.001682295489996,16.16802215576172
6,v_proj,model.layers.6.self_attn.v_proj.weight,grouped,256,2048,524288,2048,2.1791090603073826e-06,19.22149658203125,0.004975353367626667,0.009486607275903225,3.4167016648784103,17.428016662597656
6,v_proj,model.layers.6.self_attn.v_proj.weight,grouped,128,2048,524288,4096,1.8699555539569701e-06,17.83428192138672,0.004602342844009399,0.009486607275903225,3.98157353983569,18.815231323242188
6,v_proj,model.layers.6.self_attn.v_proj.weight,grouped,64,2048,524288,8192,1.562006218591705e-06,16.34387969970703,0.004205657634884119,0.009486607275903225,4.766540277295795,20.305633544921875
6,v_proj,model.layers.6.self_attn.v_proj.weight,grouped,32,2048,524288,16384,1.2590844562510028e-06,14.715957641601562,0.0037857508286833763,0.009486607275903225,5.913317027574839,21.933555603027344
6,v_proj,model.layers.6.self_attn.v_proj.weight,grouped,16,2048,524288,32768,9.624681069908547e-07,12.890815734863281,0.0033319094218313694,0.009486607275903225,7.735701058793222,23.758697509765625
7,down_proj,model.layers.7.mlp.down_proj.weight,global,11534336,5632,11534336,1,0.0002782603551167995,99.98228766701438,0.1450892835855484,0.1450892835855484,1.0,0.0
7,down_proj,model.layers.7.mlp.down_proj.weight,grouped,512,5632,11534336,22528,6.078675141907297e-06,20.27587890625,0.008279751986265182,0.1450892835855484,45.77648066737946,79.70640876076438
7,down_proj,model.layers.7.mlp.down_proj.weight,grouped,256,5632,11534336,45056,5.105080163048115e-06,18.70914806019176,0.007635686080902815,0.1450892835855484,54.506559393703476,81.27313960682261
7,down_proj,model.layers.7.mlp.down_proj.weight,grouped,128,5632,11534336,90112,4.256928605173016e-06,17.12979403409091,0.006997684016823769,0.1450892835855484,65.36646040496375,82.85249363292347
7,down_proj,model.layers.7.mlp.down_proj.weight,grouped,64,5632,11534336,180224,3.4820748169295257e-06,15.50629355690696,0.006352233700454235,0.1450892835855484,79.91222755005819,84.47599411010742
7,down_proj,model.layers.7.mlp.down_proj.weight,grouped,32,5632,11534336,360448,2.7677590423991205e-06,13.824965737082742,0.005689650308340788,0.1450892835855484,100.53633674541288,86.15732192993164
7,down_proj,model.layers.7.mlp.down_proj.weight,grouped,16,5632,11534336,720896,2.098600589306443e-06,12.036462263627486,0.004997754469513893,0.1450892835855484,132.59328932560743,87.94582540338689
7,gate_proj,model.layers.7.mlp.gate_proj.weight,global,11534336,2048,11534336,1,0.00021871435455977917,81.29673871127042,0.0538504458963871,0.0538504458963871,1.0,0.0
7,gate_proj,model.layers.7.mlp.gate_proj.weight,grouped,512,2048,11534336,22528,8.85924691829132e-06,19.63756734674627,0.009992675855755806,0.0538504458963871,24.687691468245312,61.659171364524155
7,gate_proj,model.layers.7.mlp.gate_proj.weight,grouped,256,2048,11534336,45056,7.6106675805931445e-06,18.237972259521484,0.009281580336391926,0.0538504458963871,28.737867242748955,63.05876645174894
7,gate_proj,model.layers.7.mlp.gate_proj.weight,grouped,128,2048,11534336,90112,6.421105354093015e-06,16.751636158336293,0.008542281575500965,0.0538504458963871,34.06179193436902,64.54510255293413
7,gate_proj,model.layers.7.mlp.gate_proj.weight,grouped,64,2048,11534336,180224,5.305552349454956e-06,15.221899205988104,0.007782250642776489,0.0538504458963871,41.22367289095694,66.07483950528231
7,gate_proj,model.layers.7.mlp.gate_proj.weight,grouped,32,2048,11534336,360448,4.247308879712364e-06,13.611828197132457,0.00698830233886838,0.0538504458963871,51.49480783102145,67.68491051413797
7,gate_proj,model.layers.7.mlp.gate_proj.weight,grouped,16,2048,11534336,720896,3.2377802199334837e-06,11.887541684237393,0.006152356043457985,0.0538504458963871,67.55071058043353,69.40919702703303
7,k_proj,model.layers.7.self_attn.k_proj.weight,global,524288,2048,524288,1,0.00037443701876327395,64.0756607055664,0.0689174085855484,0.0689174085855484,1.0,0.0
7,k_proj,model.layers.7.self_attn.k_proj.weight,grouped,512,2048,524288,1024,4.466239261091687e-05,20.65277099609375,0.021181346848607063,0.0689174085855484,8.383720550424565,43.422889709472656
7,k_proj,model.layers.7.self_attn.k_proj.weight,grouped,256,2048,524288,2048,3.725811984622851e-05,18.836021423339844,0.019357146695256233,0.0689174085855484,10.049809821554286,45.23963928222656
7,k_proj,model.layers.7.self_attn.k_proj.weight,grouped,128,2048,524288,4096,3.116225707344711e-05,17.142868041992188,0.017692897468805313,0.0689174085855484,12.015722028117345,46.93279266357422
7,k_proj,model.layers.7.self_attn.k_proj.weight,grouped,64,2048,524288,8192,2.5581139198038727e-05,15.500640869140625,0.01602615974843502,0.0689174085855484,14.637230025783275,48.57501983642578
7,k_proj,model.layers.7.self_attn.k_proj.weight,grouped,32,2048,524288,16384,2.0221612430759706e-05,13.766670227050781,0.014298301190137863,0.0689174085855484,18.516674673959557,50.308990478515625
