trial,group_size,num_groups,mse,average_scale,zeroed_values
35,1,1000,2.83E-16,0.251659185,0
35,2,500,0.001423582,0.442034811,52
35,4,250,0.008570753,0.77075851,87
35,8,125,0.010643757,1.383144855,115
35,10,100,0.011749297,1.6819911,117
35,16,63,0.014281871,2.542704821,134
35,20,50,0.018052651,3.142072439,134
35,25,40,0.031187272,3.871235609,149
35,32,32,0.045328498,4.761096954,157
35,40,25,0.058011912,6.024843693,178
35,50,20,0.069701083,7.468316078,192
35,64,16,0.085382126,9.259446144,209
35,100,10,0.12380638,14.63086128,248
35,125,8,0.149766475,18.20213509,277
35,200,5,0.227744356,28.9222908,356
35,250,4,0.270671427,36.04798126,395
35,500,2,0.471162409,71.72757721,622
35,1000,1,0.917848647,142.8571472,999
36,1,1000,2.30E-16,0.251593769,0
36,2,500,0.001661419,0.435857505,32
36,4,250,0.00410233,0.763985574,62
36,8,125,0.007601656,1.376556873,81
36,10,100,0.010269802,1.67815733,91
36,16,63,0.020804504,2.537371159,101
36,20,50,0.022978829,3.145772457,112
36,25,40,0.025753228,3.873820782,122
36,32,32,0.02788821,4.773587704,130
36,40,25,0.037060227,6.032785416,139
36,50,20,0.06289494,7.459765434,146
36,64,16,0.075610943,9.256614685,167
36,100,10,0.103021435,14.62345409,205
36,125,8,0.130171865,18.19574165,233
36,200,5,0.195864365,28.91084862,310
36,250,4,0.23764874,36.01823044,350
36,500,2,0.451833934,71.65918732,585
36,1000,1,0.891799092,142.8571472,999
37,1,1000,3.07E-16,0.254184097,0
37,2,500,0.001646034,0.443194509,54
37,4,250,0.004519463,0.776272297,91
37,8,125,0.010754094,1.397185922,112
37,10,100,0.01606115,1.691668391,116
37,16,63,0.026138166,2.556219101,135
37,20,50,0.029000686,3.159751892,145
37,25,40,0.036779471,3.882390499,151
37,32,32,0.045049965,4.782741547,162
37,40,25,0.061011467,6.043132305,174
37,50,20,0.067652963,7.479125977,187
37,64,16,0.078063212,9.280471802,210
37,100,10,0.109674267,14.65657997,258
37,125,8,0.130289003,18.23007584,283
37,200,5,0.18546775,28.93430519,347
37,250,4,0.229897037,36.05831146,390
37,500,2,0.511256278,71.65065002,595
37,1000,1,0.967827201,142.8571472,999
38,1,1000,4.32E-16,0.257042617,0
38,2,500,0.00214523,0.446144968,38
38,4,250,0.004713916,0.779565573,75
38,8,125,0.011096862,1.396822929,109
38,10,100,0.014339874,1.69275713,115
38,16,63,0.030606084,2.556848049,130
