model,layer,tensor_key,rows,columns,num_weights,minimum,maximum,mean,std,max_abs,max_to_std,skewness,pearson_kurtosis,excess_kurtosis,abs_percentile_99,abs_percentile_99_9,abs_percentile_99_99,count_above_5_std,percent_above_5_std,count_above_10_std,percent_above_10_std,count_above_20_std,percent_above_20_std,global_int8_scale,global_int8_mse,global_int8_zeroed_values,global_int8_zeroed_percent,global_int4_scale,global_int4_mse,global_int4_zeroed_values,global_int4_zeroed_percent,grouped_int4_group_size,grouped_int4_number_of_scales,grouped_int4_average_scale,grouped_int4_maximum_scale,grouped_int4_mse,grouped_int4_zeroed_values,grouped_int4_zeroed_percent,int4_to_int8_mse_ratio,grouped_vs_global_int4_mse_improvement,grouped_int4_zeroed_point_reduction
TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,model.layers.10.self_attn.q_proj.weight,2048,2048,4194304,-0.341796875,0.41796875,1.657176107983105e-05,0.026815563440322876,0.41796875,15.586797231770841,0.00021683273371309042,4.659302711486816,1.6593027114868164,0.07763671875,0.11669921875,0.173828125,1939,0.04622936248779297,21,0.0005006790161132812,0,0.0,0.0032910925801843405,9.031887771016045e-07,242695,5.786299705505371,0.0597098208963871,0.00026533592608757317,3214838,76.6477108001709,64,65536,0.009801344946026802,0.0597098208963871,8.956261808634736e-06,647984,15.449142456054688,293.77681921497583,29.625744731106753,61.19856834411621
TinyLlama/TinyLlama-1.1B-Chat-v1.0,11,model.layers.11.self_attn.q_proj.weight,2048,2048,4194304,-0.392578125,0.37109375,1.3490542187355459e-05,0.02556460350751877,0.392578125,15.356315809261012,-0.004409184679389,5.930461883544922,2.930461883544922,0.0791015625,0.1259765625,0.185546875,3980,0.09489059448242188,45,0.0010728836059570312,0,0.0,0.0030911662615835667,7.959743015817367e-07,268924,6.411647796630859,0.0560825876891613,0.00022363470634445548,3257561,77.6663064956665,64,65536,0.009205982089042664,0.0560825876891613,8.431439709966071e-06,662640,15.798568725585938,280.95719409540635,26.52390505504254,61.867737770080566
TinyLlama/TinyLlama-1.1B-Chat-v1.0,12,model.layers.12.self_attn.q_proj.weight,2048,2048,4194304,-0.283203125,0.416015625,-1.923824856930878e-05,0.025878682732582092,0.416015625,16.07561054397189,0.0009782712440937757,4.44011116027832,1.4401111602783203,0.07568359375,0.11083984375,0.1513671875,1429,0.03407001495361328,12,0.000286102294921875,0,0.0,0.003275713650509715,8.945949048211332e-07,246239,5.870795249938965,0.0594308041036129,0.0002615624398458749,3269178,77.94327735900879,64,65536,0.009441404603421688,0.0594308041036129,8.26773339213105e-06,643225,15.335679054260254,292.3808736627805,31.636535364677005,62.607598304748535
TinyLlama/TinyLlama-1.1B-Chat-v1.0,13,model.layers.13.self_attn.q_proj.weight,2048,2048,4194304,-0.443359375,0.345703125,6.990097972447984e-06,0.02542901039123535,0.443359375,17.435180063193226,-0.000792717095464468,4.349974632263184,1.3499746322631836,0.07421875,0.1064453125,0.1416015625,1047,0.024962425231933594,15,0.00035762786865234375,0,0.0,0.0034910186659544706,1.0156941243621986e-06,268278,6.396245956420898,0.0633370503783226,0.00028582377126440406,3396437,80.97736835479736,64,65536,0.009284472092986107,0.0633370503783226,7.973819265316706e-06,643993,15.353989601135254,281.4073296366522,35.845278373393334,65.62337875366211
TinyLlama/TinyLlama-1.1B-Chat-v1.0,14,model.layers.14.self_attn.q_proj.weight,2048,2048,4194304,-0.53125,0.423828125,-2.3278775188373402e-05,0.025603653863072395,0.53125,20.748991641627,0.0017683887854218483,5.266574382781982,2.2665743827819824,0.07666015625,0.115234375,0.1689453125,2192,0.0522613525390625,51,0.0012159347534179688,1,2.384185791015625e-05,0.004183070734143257,1.4583941947421408e-06,333860,7.959842681884766,0.0758928582072258,0.0003574062429834157,3671521,87.53588199615479,64,65536,0.009293025359511375,0.0758928582072258,8.316754247061908e-06,648886,15.470647811889648,245.06833904848946,42.97424600584753,72.06523418426514
TinyLlama/TinyLlama-1.1B-Chat-v1.0,15,model.layers.15.self_attn.q_proj.weight,2048,2048,4194304,-0.435546875,0.37890625,-4.221968993078917e-05,0.02596469782292843,0.435546875,16.77457900609131,-0.024953529238700867,6.039120197296143,3.0391201972961426,0.080078125,0.12255859375,0.1962890625,3025,0.07212162017822266,116,0.002765655517578125,0,0.0,0.003429502947255969,9.804771252674982e-07,295577,7.047104835510254,0.0622209832072258,0.00026353501016274095,3388232,80.78174591064453,64,65536,0.009409742429852486,0.0622209832072258,8.994463314593304e-06,662113,15.786004066467285,268.7824155926556,29.299692593682785,64.99574184417725
TinyLlama/TinyLlama-1.1B-Chat-v1.0,16,model.layers.16.self_attn.q_proj.weight,2048,2048,4194304,-0.427734375,0.51953125,-1.779821286618244e-05,0.026472825556993484,0.51953125,19.625077379122168,0.001786459470167756,5.580320835113525,2.5803208351135254,0.08056640625,0.123046875,0.17919921875,2666,0.06356239318847656,68,0.001621246337890625,0,0.0,0.004090797156095505,1.3943503063273965e-06,322440,7.687568664550781,0.07421875,0.00035112490877509117,3609984,86.0687255859375,64,65536,0.00967218168079853,0.07421875,9.150181540462654e-06,662281,15.790009498596191,251.8197236244923,38.3735456200946,70.27871608734131
TinyLlama/TinyLlama-1.1B-Chat-v1.0,17,model.layers.17.self_attn.q_proj.weight,2048,2048,4194304,-0.51171875,0.42578125,1.0412741175969131e-06,0.024338264018297195,0.51171875,21.025277300603545,-0.0024406437296420336,4.817820072174072,1.8178200721740723,0.072265625,0.10498046875,0.1474609375,1526,0.03638267517089844,38,0.0009059906005859375,1,2.384185791015625e-05,0.004029281437397003,1.3526694147003582e-06,349031,8.321547508239746,0.0731026753783226,0.00032775680301710963,3668866,87.47258186340332,64,65536,0.008842775598168373,0.0731026753783226,7.492601980629843e-06,650804,15.516376495361328,242.30369922995115,43.744056319078325,71.95620536804199
TinyLlama/TinyLlama-1.1B-Chat-v1.0,18,model.layers.18.self_attn.q_proj.weight,2048,2048,4194304,-0.435546875,0.380859375,2.0295925423852168e-05,0.025077708065509796,0.435546875,17.367889994661116,-0.010356996208429337,4.873257160186768,1.8732571601867676,0.0751953125,0.10986328125,0.15234375,1616,0.0385284423828125,26,0.0006198883056640625,0,0.0,0.003429502947255969,9.802704425965203e-07,282669,6.739354133605957,0.0622209832072258,0.000266590213868767,3412177,81.35263919830322,64,65536,0.009126921184360981,0.0622209832072258,7.99308418208966e-06,652618,15.559625625610352,271.9557810624467,33.352609305194555,65.79301357269287
TinyLlama/TinyLlama-1.1B-Chat-v1.0,19,model.layers.19.self_attn.q_proj.weight,2048,2048,4194304,-0.484375,0.53515625,-3.186996764270589e-07,0.024235565215349197,0.53515625,22.081442922613068,0.007196768186986446,5.205191135406494,2.205191135406494,0.07177734375,0.1064453125,0.15234375,1716,0.040912628173828125,55,0.0013113021850585938,1,2.384185791015625e-05,0.004213828593492508,1.4801398720010184e-06,361005,8.607029914855957,0.0764508917927742,0.0003453535900916904,3736562,89.08658027648926,64,65536,0.008850568905472755,0.0764508917927742,7.545984772150405e-06,653782,15.587377548217773,233.32496923064633,45.766536843046644,73.49920272827148
